# Data from Clarivate Analytics' Web of Science, retrieved 29 October 2018,,,,,,,,,,,,,
# This file generated on 2018-11-22 14:30:09,,,,,,,,,,,,,,
item,id,year,title,AU,SO,DE,DOI,DOI link,Modeling,Version Control,Versioning,Testing,Publicly accessible code?,Publicly accessible data?
625,WOS:000285070700020,2010,Burden of disease attributed to anthropogenic air pollution in the United Arab Emirates: Estimates based on observed air quality data,"Li, Ying|Gibson, Jacqueline MacDonald|Jat, Prahlad|Puggioni, Gavino|Hasan, Mejs|West, J. Jason|Vizuete, William|Sexton, Kenneth|Serre, Marc",SCIENCE OF THE TOTAL ENVIRONMENT,environmental burden of disease|mortality|ambient air pollution|exposure assessment|risk assessment|relative risk|united arab emirates,10.1016/j.scitotenv.2010.08.017,http://dx.doi.org/10.1016/j.scitotenv.2010.08.017,,,,,,
555,WOS:000282395600011,2010,National scale assessment of climate change impacts on flooding in Finland,"Veijalainen, Noora|Lotsari, Ehisa|Alho, Petteri|Vehvilainen, Bertel|Kayhko, Jukka",JOURNAL OF HYDROLOGY,climate change|flood|hydrological modelling|flood inundation area|hydraulic modelling|finland,10.1016/j.jhydrol.2010.07.035,http://dx.doi.org/10.1016/j.jhydrol.2010.07.035,,,,,,
551,WOS:000279029900007,2010,Fate and transport of chlormequat in subsurface environments,"Juhler, Rene K.|Henriksen, Trine|Rosenbom, Annette E.|Kjaer, Jeanne",ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,ccc|chlormequat|chlorocholine chloride|cycocel|freundlich isotherm|groundwater|pesticide|quaternary ammoniumherbicides|soil|sorption,10.1007/s11356-010-0303-5,http://dx.doi.org/10.1007/s11356-010-0303-5,,,,,,
3682,WOS:000284355400012,2010,Receiving water quality assessment: comparison between simplified and detailed integrated urban modelling approaches,"Mannina, Giorgio|Viviani, Gaspare",WATER SCIENCE AND TECHNOLOGY,mathematical modelling|river water quality|sensitivity analysis|uncertainty analysis|urban drainage integrated modelling,10.2166/wst.2010.404,http://dx.doi.org/10.2166/wst.2010.404,,,,,,
1629,WOS:000285907200008,2010,Practitioner training for building capacity in ICZM,"Le Tissier, Martin D'a A.|Hills, Jeremy M.",OCEAN & COASTAL MANAGEMENT,,10.1016/j.ocecoaman.2010.10.018,http://dx.doi.org/10.1016/j.ocecoaman.2010.10.018,,,,,,
616,WOS:000275510300002,2010,"Falling and explosive, dormant, and rising markets via multiple-regime financial time series models","Chen, Cathy W. S.|Gerlach, Richard H.|Lin, Ann M. H.",APPLIED STOCHASTIC MODELS IN BUSINESS AND INDUSTRY,asymmetry|markov chain monte carlo method|model selection|deviance information criterion (dic),10.1002/asmb.765,http://dx.doi.org/10.1002/asmb.765,,,,,,
539,WOS:000284489900006,2010,Integrated modeling of groundwater-surface water interactions in a tile-drained agricultural field: The importance of directly measured flow route contributions,"Rozemeijer, J. C.|van der Velde, Y.|McLaren, R. G.|van Geer, F. C.|Broers, H. P.|Bierkens, M. F. P.",WATER RESOURCES RESEARCH,,10.1029/2010WR009155,http://dx.doi.org/10.1029/2010WR009155,,,,,,
3909,WOS:000285217100002,2010,Invasive species management in a spatially heterogeneous world: Effects of uniform policies,"Albers, Heidi J.|Fischer, Carolyn|Sanchirico, James N.",RESOURCE AND ENERGY ECONOMICS,metapopulation|ecosystem services|optimal control|bioeconomic modeling|economic-ecological modeling,10.1016/j.reseneeco.2010.04.001,http://dx.doi.org/10.1016/j.reseneeco.2010.04.001,,,,,,
3134,WOS:000285307700008,2010,QUANTIFYING AQUIFER WATER BALANCE AND SALINITY DYNAMICS TO MINIMISE ENVIRONMENTAL IMPACTS OF A LAND-BASED EFFLUENT TREATMENT SYSTEM IN CHINA,"Khan, S.|Ahmad, A.|Zhaoqing, L.|Rana, T.|Mu, J.|Blackwell, J.|Jayawardane, N.",IRRIGATION AND DRAINAGE,wastewater irrigation|unsaturated zone|water balance|groundwater modelling|salinity|filter system|vertical drainage|china,10.1002/ird.517,http://dx.doi.org/10.1002/ird.517,,,,,,
4457,WOS:000277878900001,2010,Estimating aboveground forest biomass from canopy reflectance model inversion in mountainous terrain,"Soenen, Scott A.|Peddle, Derek R.|Hall, Ronald J.|Coburn, Craig A.|Hall, Forrest G.",REMOTE SENSING OF ENVIRONMENT,biomass|canopy reflectance model|inversion|forest structure|carbon|mountains|spectral mixture analysis|ndvi,10.1016/j.rse.2009.12.012,http://dx.doi.org/10.1016/j.rse.2009.12.012,,,,,,
4626,WOS:000272578500003,2010,Constraint-specific recovery network for solving airline recovery problems,"Eggenberg, Niklaus|Salani, Matteo|Bierlaire, Michel",COMPUTERS & OPERATIONS RESEARCH,airline scheduling|recovery algorithms|column generation,10.1016/j.cor.2009.08.006,http://dx.doi.org/10.1016/j.cor.2009.08.006,,,,,,
552,WOS:000284754500009,2010,"Streamflow sensitivity to climate and land cover changes: Meki River, Ethiopia","Legesse, D.|Abiye, T. A.|Vallet-Coulomb, C.|Abate, H.",HYDROLOGY AND EARTH SYSTEM SCIENCES,,10.5194/hess-14-2277-2010,http://dx.doi.org/10.5194/hess-14-2277-2010,,,,,,
3980,WOS:000277732700026,2010,Simulation of wastewater treatment plant within integrated urban wastewater models,"Heusch, S.|Kamradt, B.|Ostrowski, M.",WATER SCIENCE AND TECHNOLOGY,integrated urban drainage system|modelling|receiving waters|linearized asm|urban wastewater system|wastewater treatment plant,10.2166/wst.2010.191,http://dx.doi.org/10.2166/wst.2010.191,,,,,,
3699,WOS:000274350400004,2010,A new library to combine artificial neural networks and support vector machines with statistics and a database engine for application in environmental modeling,"Wieland, Ralf|Mirschel, Wilfried|Zbell, Bernd|Groth, Karin|Pechenick, Alison|Fukuda, Kyoko",ENVIRONMENTAL MODELLING & SOFTWARE,artificial neural networks|support vector machine|database management|statistics|open source software|yield modeling|spectral analysis,10.1016/j.envsoft.2009.11.006,http://dx.doi.org/10.1016/j.envsoft.2009.11.006,,,,,,
1704,WOS:000285016100003,2010,Ecohydrological feedbacks between salt accumulation and vegetation dynamics: Role of vegetation-groundwater interactions,"Runyan, Christiane W.|D'Odorico, Paolo",WATER RESOURCES RESEARCH,,10.1029/2010WR009464,http://dx.doi.org/10.1029/2010WR009464,,,,,,
1752,WOS:000278029400009,2010,Simulated wetland conservation-restoration effects on water quantity and quality at watershed scale,"Wang, Xixi|Shang, Shiyou|Qu, Zhongyi|Liu, Tingxi|Melesse, Assefa M.|Yang, Wanhong",JOURNAL OF ENVIRONMENTAL MANAGEMENT,hew|hydrologic processes|peak discharge|nutrients|sediment|swat,10.1016/j.jenvman.2010.02.023,http://dx.doi.org/10.1016/j.jenvman.2010.02.023,,,,,,
700,WOS:000280585600001,2010,Millennium Ecosystem Assessment scenario drivers (1970-2050): Climate and hydrological alterations,"Fekete, Balazs M.|Wisser, Dominik|Kroeze, Carolien|Mayorga, Emilio|Bouwman, Lex|Wollheim, Wilfred M.|Voeroesmarty, Charles",GLOBAL BIOGEOCHEMICAL CYCLES,,10.1029/2009GB003593,http://dx.doi.org/10.1029/2009GB003593,,,,,,
2434,WOS:000280952400009,2010,Modeling Framework for Organic Sediment Resuspension and Oxygen Demand: Case of Bubbly Creek in Chicago,"Motta, Davide|Abad, Jorge D.|Garcia, Marcelo H.",JOURNAL OF ENVIRONMENTAL ENGINEERING-ASCE,biochemical oxygen demand|dissolved oxygen|organic sediment resuspension|sediment oxygen demand|combined sewer overflow,10.1061/(ASCE)EE.1943-7870.0000228,http://dx.doi.org/10.1061/(ASCE)EE.1943-7870.0000228,,,,,,
3252,WOS:000275789700014,2010,Potential Economic Benefits of Adapting Agricultural Production Systems to Future Climate Change,"Prato, Tony|Zeyuan, Qiu|Pederson, Gregory|Fagre, Dan|Bengtson, Lindsey E.|Williams, Jimmy R.",ENVIRONMENTAL MANAGEMENT,economic benefits|adaptation|agricultural production systems|future climate change,10.1007/s00267-010-9427-0,http://dx.doi.org/10.1007/s00267-010-9427-0,,,,,,
4712,WOS:000278786900002,2010,Comparison of runoff modelled using rainfall from different downscaling methods for historical and future climates,"Chiew, F. H. S.|Kirono, D. G. C.|Kent, D. M.|Frost, A. J.|Charles, S. P.|Timbal, B.|Nguyen, K. C.|Fu, G.",JOURNAL OF HYDROLOGY,global climate models|downscaling|rainfall|runoff|hydrological modelling|climate change,10.1016/j.jhydrol.2010.03.025,http://dx.doi.org/10.1016/j.jhydrol.2010.03.025,,,,,,
426,WOS:000284814900004,2010,"Toward an error model for radar quantitative precipitation estimation in the Cevennes-Vivarais region, France","Kirstetter, Pierre-Emmanuel|Delrieu, Guy|Boudevillain, Brice|Obled, Charles",JOURNAL OF HYDROLOGY,radar qpe|raingauge|geostatistics|estimation variance|statistical distribution|space-time structure,10.1016/j.jhydrol.2010.01.009,http://dx.doi.org/10.1016/j.jhydrol.2010.01.009,,,,,,
4601,WOS:000285701200014,2010,Assimilating multi-source uncertainties of a parsimonious conceptual hydrological model using hierarchical Bayesian modeling,"Wu, Wei|Clark, James S.|Vose, James M.",JOURNAL OF HYDROLOGY,hierarchical bayesian modeling|hydrological modeling|soil moisture|streamflow,10.1016/j.jhydrol.2010.09.017,http://dx.doi.org/10.1016/j.jhydrol.2010.09.017,,,,,,
2617,WOS:000208691600034,2010,Optimal Portfolio Liquidation with Execution Cost and Risk,"Kharroubi, Idris|Huyen Pham, ",SIAM JOURNAL ON FINANCIAL MATHEMATICS,optimal portfolio liquidation|execution trade|liquidity effects|order book|impulse control|viscosity solutions,10.1137/09076372X,http://dx.doi.org/10.1137/09076372X,,,,,,
3062,WOS:000283592800029,2010,Integrated assessment of brick kiln emission impacts on air quality,"Le, Hoang Anh|Oanh, Nguyen Thi Kim",ENVIRONMENTAL MONITORING AND ASSESSMENT,brick kiln|air pollution emission factors|pm size distribution|air quality modelling|dry deposition|vietnam,10.1007/s10661-009-1285-y,http://dx.doi.org/10.1007/s10661-009-1285-y,,,,,,
2610,WOS:000279129100040,2010,Effects of land cover changes induced by large physical disturbances on hydrological responses in Central Taiwan,"Hong, Nien Ming|Chu, Hone-Jay|Lin, Yu-Pin|Deng, Dung-Po",ENVIRONMENTAL MONITORING AND ASSESSMENT,hydrology|land cover change|landslides|remote sensing data|disturbances|monte carlo simulations|distinction,10.1007/s10661-009-1019-1,http://dx.doi.org/10.1007/s10661-009-1019-1,,,,,,
2618,WOS:000283398100005,2010,An analysis of the combined consequences of pluvial and fluvial flooding,"Chen, A. S.|Djordjevic, S.|Leandro, J.|Savic, D. A.",WATER SCIENCE AND TECHNOLOGY,integrated modelling|pluvial and fluvial flooding|sewer drainage|urban inundation,10.2166/wst.2010.486,http://dx.doi.org/10.2166/wst.2010.486,,,,,,
3524,WOS:000279042000012,2010,Crop yield responses to climate change in the Huang-Huai-Hai Plain of China,"Liu, Suxia|Mo, Xingguo|Lin, Zhonghui|Xu, Yueqing|Ji, Jinjun|Wen, Gang|Richey, Jeff",AGRICULTURAL WATER MANAGEMENT,crop model|vip model|crop yield|climate change|co(2) fertilization|irrigation|winter wheat|maize|huang-huai-hai plain|north china plain,10.1016/j.agwat.2010.03.001,http://dx.doi.org/10.1016/j.agwat.2010.03.001,,,,,,
1447,WOS:000277802100006,2010,An improved statistical approach to merge satellite rainfall estimates and raingauge data,"Li, Ming|Shao, Quanxi",JOURNAL OF HYDROLOGY,data assimilation|satellite|nonparametric kernel smoothing|rainfall field estimation,10.1016/j.jhydrol.2010.01.023,http://dx.doi.org/10.1016/j.jhydrol.2010.01.023,,,,,,
727,WOS:000285032000035,2010,Modeling the potential for thermal concentrating solar power technologies,"Zhang, Yabei|Smith, Steven J.|Kyle, G. Page|Stackhouse, Paul W.",ENERGY POLICY,solar|csp|thermal storage,10.1016/j.enpol.2010.09.008,http://dx.doi.org/10.1016/j.enpol.2010.09.008,,,,,,
1775,WOS:000279117500069,2010,Accounting for the risk of extreme outcomes in an integrated assessment of climate change,"Gerst, Michael D.|Howarth, Richard B.|Borsuk, Mark E.",ENERGY POLICY,uncertainty|cost-benefit analysis|climate change,10.1016/j.enpol.2010.04.008,http://dx.doi.org/10.1016/j.enpol.2010.04.008,,,,,,
1776,WOS:000284190600006,2010,Study of discontinuities in hydrological data using catastrophe theory,"Ghorbani, Mohammad Ali|Khatibi, Rahman|Sivakumar, Bellie|Cobb, Loren",HYDROLOGICAL SCIENCES JOURNAL-JOURNAL DES SCIENCES HYDROLOGIQUES,hydrological modelling|discontinuities|rainfall-runoff process|catastrophe theory|cusp stochastic catastrophe|noise|lake urmu,10.1080/02626667.2010.513477,http://dx.doi.org/10.1080/02626667.2010.513477,,,,,,
1441,WOS:000279025100001,2010,Using indirect methods to constrain symbiotic nitrogen fixation rates: a case study from an Amazonian rain forest,"Cleveland, Cory C.|Houlton, Benjamin Z.|Neill, Christopher|Reed, Sasha C.|Townsend, Alan R.|Wang, Yingping",BIOGEOCHEMISTRY,amazon basin|ecosystem modeling|mass balance|nitrogen fixation|nutrient cycling|rondonia|tropical forest,10.1007/s10533-009-9392-y,http://dx.doi.org/10.1007/s10533-009-9392-y,,,,,,
1780,WOS:000282411100024,2010,A review of modeling bioprocesses in membrane bioreactors (MBR) with emphasis on membrane fouling predictions,"Patsios, S. I.|Karabelas, A. J.",DESALINATION AND WATER TREATMENT,membrane bioreactor (mbr)|membrane fouling models|wastewater treatment|activated sludge modeling|eps|smp,10.5004/dwt.2010.1383,http://dx.doi.org/10.5004/dwt.2010.1383,,,,,,
4305,WOS:000280140900012,2010,Potentials and limitations of modelling spatio-temporal patterns of soil moisture in a high mountain catchment using WaSiM-ETH,"Roessler, Ole|Loeffler, Joerg",HYDROLOGICAL PROCESSES,hydrological modelling|soil moisture|wasim-eth|sensitivity analysis|swiss alps,10.1002/hyp.7663,http://dx.doi.org/10.1002/hyp.7663,,,,,,
1785,WOS:000280891800004,2010,Estimation of economic costs of particulate air pollution from road transport in China,"Guo, X. R.|Cheng, S. Y.|Chen, D. S.|Zhou, Y.|Wang, H. Y.",ATMOSPHERIC ENVIRONMENT,economic valuation|road transport|particulate air pollution|beijing,10.1016/j.atmosenv.2010.06.018,http://dx.doi.org/10.1016/j.atmosenv.2010.06.018,,,,,,
1451,WOS:000284599200005,2010,Groundwater recharge in irrigated semi-arid areas: quantitative hydrological modelling and sensitivity analysis,"Jimenez-Martinez, Joaquin|Candela, Lucila|Molinero, Jorge|Tamoh, Karim",HYDROGEOLOGY JOURNAL,arid regions|groundwater recharge/water budget|agriculture|irrigation|spain,10.1007/s10040-010-0658-1,http://dx.doi.org/10.1007/s10040-010-0658-1,,,,,,
492,WOS:000278111500023,2010,Counting only the hits? The risk of underestimating the costs of stringent climate policy,"Tavoni, Massimo|Tol, Richard S. J.",CLIMATIC CHANGE,,10.1007/s10584-010-9867-9,http://dx.doi.org/10.1007/s10584-010-9867-9,,,,,,
1749,WOS:000280636900015,2010,Conservation problems with hypothelminorheic Niphargus species (Amphipoda: Niphargidae),"Fiser, Cene|Konec, Marjeta|Kobe, Zala|Osanic, Miha|Gruden, Pina|Potocnik, Hubert",AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS,niphargus|groundwater protection|hypothelminorheic|ecological modelling,10.1002/aqc.1119,http://dx.doi.org/10.1002/aqc.1119,,,,,,
1742,WOS:000280457300011,2010,On the unification of thermal perception and adaptive actions,"Haldi, Frederic|Robinson, Darren",BUILDING AND ENVIRONMENT,thermal comfort|adaptive actions|feedback|action inertia|visual comfort,10.1016/j.buildenv.2010.05.010,http://dx.doi.org/10.1016/j.buildenv.2010.05.010,,,,,,
490,WOS:000271700500001,2010,Management Option Rank Equivalence (MORE) - A new method of sensitivity analysis for decision-making,"Ravalico, J. K.|Dandy, G. C.|Maier, H. R.",ENVIRONMENTAL MODELLING & SOFTWARE,sensitivity analysis|river murray|environmental modelling|decision-making|natural resources management,10.1016/j.envsoft.2009.06.012,http://dx.doi.org/10.1016/j.envsoft.2009.06.012,,,,,,
656,WOS:000281107500017,2010,Assessing the vulnerability of Indian mustard to climate change,"Boomiraj, K.|Chakrabarti, B.|Aggarwal, P. K.|Choudhary, R.|Chander, S.",AGRICULTURE ECOSYSTEMS & ENVIRONMENT,infocrop|simulation|sensitivity|impact|mustard|climate change,10.1016/j.agee.2010.05.010,http://dx.doi.org/10.1016/j.agee.2010.05.010,,,,,,
4688,WOS:000208629900003,2010,Evaluation of digital elevation models for delineation of hydrological response units in a Himalayan watershed,"Saran, Sameer|Sterk, Geert|Peters, Piet|Dadhwal, Vinay Kumar",GEOCARTO INTERNATIONAL,digital elevation model (dem)|hydrological response units (hrus)|surface runoff|hydrological modelling,10.1080/10106040903051967,http://dx.doi.org/10.1080/10106040903051967,,,,,,
4210,WOS:000284298100007,2010,Development of DRAIN-WARMF model to simulate flow and nitrogen transport in a tile-drained agricultural watershed in Eastern Canada,"Dayyani, Shadi|Prasher, Shiv O.|Madani, Ali|Madramootoo, Chandra A.",AGRICULTURAL WATER MANAGEMENT,hydrological modeling|warmf|drainmod|non-point source pollution|watershed scale,10.1016/j.agwat.2010.07.012,http://dx.doi.org/10.1016/j.agwat.2010.07.012,,,,,,
659,WOS:000276540000007,2010,Ecological quality scales based on phytoplankton for the implementation of Water Framework Directive in the Eastern Mediterranean,"Spatharis, Sofie|Tsirtsis, George",ECOLOGICAL INDICATORS,community structure|diversity|ecological assessment|indices|log series distribution|model communities|sensitivity analysis,10.1016/j.ecolind.2010.01.005,http://dx.doi.org/10.1016/j.ecolind.2010.01.005,,,,,,
2590,WOS:000283715800005,2010,Signal-to-Noise Ratios of Geophysical and Environmental Time Series,"Fleming, Sean W.",ENVIRONMENTAL & ENGINEERING GEOSCIENCE,environmental monitoring|environmental modeling|signal strength|water resources,10.2113/gseegeosci.16.4.389,http://dx.doi.org/10.2113/gseegeosci.16.4.389,,,,,,
3703,WOS:000279088300014,2010,Public participation for sustainability and social learning: Concepts and lessons from three case studies in Europe,"Garmendia, Eneko|Stagl, Sigrid",ECOLOGICAL ECONOMICS,social learning|participatory approaches|integrated assessment|complex adaptive systems|natural resource management|energy policy,10.1016/j.ecolecon.2010.03.027,http://dx.doi.org/10.1016/j.ecolecon.2010.03.027,,,,,,
4696,WOS:000279277100009,2010,Integrating spatial altimetry data into the automatic calibration of hydrological models,"Getirana, Augusto C. V.",JOURNAL OF HYDROLOGY,hydrological modeling|automatic calibration|mocom-ua|envisat|spatial altimetry|mgb-iph,10.1016/j.jhydrol.2010.04.013,http://dx.doi.org/10.1016/j.jhydrol.2010.04.013,,,,,,
1502,WOS:000279410600015,2010,A simple stochastic weather generator for ecological modeling,"Birt, A. G.|Valdez-Vivas, M. R.|Feldman, R. M.|Lafon, C. W.|Cairns, D.|Coulson, R. N.|Tchakerian, M.|Xi, W.|Guldin, J. M.",ENVIRONMENTAL MODELLING & SOFTWARE,weather generator|climate|stochastic model|ecology,10.1016/j.envsoft.2010.03.006,http://dx.doi.org/10.1016/j.envsoft.2010.03.006,,,,,,
3078,WOS:000281225800027,2010,Kinetic Reaction Modeling Framework for Identifying and Quantifying Reductant Reactivity in Heterogeneous Aquifer Sediments,"Descourvieres, Carlos|Prommer, Henning|Oldham, Carolyn|Greskowiak, Janek|Hartog, Niels",ENVIRONMENTAL SCIENCE & TECHNOLOGY,,10.1021/es101661u,http://dx.doi.org/10.1021/es101661u,,,,,,
2597,WOS:000280627600011,2010,Spatial variation of climatology monthly crop reference evapotranspiration and sensitivity coefficients in Shiyang river basin of northwest China,"Zhang, Xiaotao|Kang, Shaozhong|Zhang, Lu|Liu, Junqi",AGRICULTURAL WATER MANAGEMENT,crop reference evapotranspiration|penman-monteith|anusplin|sensitivity analysis|shiyang river basin,10.1016/j.agwat.2010.05.004,http://dx.doi.org/10.1016/j.agwat.2010.05.004,,,,,,
1718,WOS:000285931700010,2010,Characterizing temporal changes in forest fire ignitions: looking for climate change signals in a region of the Canadian boreal forest,"Woolford, Douglas G.|Cao, Jiguo|Dean, Charmaine B.|Martell, David L.",ENVIRONMETRICS,entropy score|generalized additive mixed model|nonparametric smoothing|wildfire ignitions,10.1002/env.1067,http://dx.doi.org/10.1002/env.1067,,,,,,
2452,WOS:000285254000009,2010,A fuzzy-based simulation method for modelling hydrological processes under uncertainty,"Huang, Y.|Chen, X.|Li, Y. P.|Huang, G. H.|Liu, T.",HYDROLOGICAL PROCESSES,distributed hydrological model|factorial analysis|fuzzy vertex analysis|tarim river basin|uncertainty|water resources,10.1002/hyp.7790,http://dx.doi.org/10.1002/hyp.7790,,,,,,
676,WOS:000274058900009,2010,Characteristics of 2-D convective structures in Catalonia (NE Spain): an analysis using radar data and GIS,"Barnolas, M.|Rigo, T.|Llasat, M. C.",HYDROLOGY AND EARTH SYSTEM SCIENCES,,10.5194/hess-14-129-2010,http://dx.doi.org/10.5194/hess-14-129-2010,,,,,,
1721,WOS:000282081300004,2010,Hydrological response of a Brazilian semi-arid catchment to different land use and climate change scenarios: a modelling study,"Montenegro, A.|Ragab, R.",HYDROLOGICAL PROCESSES,semi-arid|hydrological modelling|dicasm model|climate change|biofuel|north-east brazil,10.1002/hyp.7825,http://dx.doi.org/10.1002/hyp.7825,,,,,,
3240,WOS:000277498900014,2010,Sediment and pollutant load modelling using an integrated urban drainage modelling toolbox: an application of City Drain,"Rodriguez, J. P.|Achleitner, S.|Moederl, M.|Rauch, W.|Maksimovic, C.|McIntyre, N.|Diaz-Granados, M. A.|Rodriguez, M. S.",WATER SCIENCE AND TECHNOLOGY,bogota city|build-up and wash-off processes|calibration and uncertainty analysis|city drain toolbox|sediment and pollutant load modelling,10.2166/wst.2010.139,http://dx.doi.org/10.2166/wst.2010.139,,,,,,
1475,WOS:000278625800004,2010,Muskrat Abundance Responses to Water level Regulation Within Freshwater Coastal Wetlands,"Toner, Jason|Farrell, John M.|Mead, Jerry V.",WETLANDS,drowned river mouth wetlands|ecological modeling|hydrologic regulation,10.1007/s13157-010-0034-x,http://dx.doi.org/10.1007/s13157-010-0034-x,,,,,,
452,WOS:000273032100005,2010,Sublethal toxicant effects with dynamic energy budget theory: model formulation,"Muller, Erik B.|Nisbet, Roger M.|Berkley, Heather A.",ECOTOXICOLOGY,toxicity modeling|debtox|dynamic energy budgets|sublethal effects,10.1007/s10646-009-0385-3,http://dx.doi.org/10.1007/s10646-009-0385-3,,,,,,
448,WOS:000278865200022,2010,"Simultaneous modeling of habitat suitability, occupancy, and relative abundance: African elephants in Zimbabwe","Martin, Julien|Chamaille-Jammes, Simon|Nichols, James D.|Fritz, Herve|Hines, James E.|Fonnesbeck, Christopher J.|MacKenzie, Darryl I.|Bailey, Larissa L.",ECOLOGICAL APPLICATIONS,"adaptive resource management|african elephants|detection probabilities|hwange national park, zimbabwe|joint habitat occupancy modeling|loxodonta africana|multistate site occupancy models|structured decision making|surface water",10.1890/09-0276.1,http://dx.doi.org/10.1890/09-0276.1,,,,,,
446,WOS:000277802100008,2010,Analysis of parameter uncertainty in semi-distributed hydrological models using bootstrap method: A case study of SWAT model applied to Yingluoxia watershed in northwest China,"Li, Zhanling|Shao, Quanxi|Xu, Zongxue|Cai, Xitian",JOURNAL OF HYDROLOGY,aggregate parameter|resampling method|bayesian approach|uncertainty analysis,10.1016/j.jhydrol.2010.01.025,http://dx.doi.org/10.1016/j.jhydrol.2010.01.025,,,,,,
1717,WOS:000282655200027,2010,GIS-based spatial precipitation estimation using next generation radar and raingauge data,"Zhang, Xuesong|Srinivasan, Raghavan",ENVIRONMENTAL MODELLING & SOFTWARE,geographic information system|geostatistics|next generation radar|precipitation,10.1016/j.envsoft.2010.05.012,http://dx.doi.org/10.1016/j.envsoft.2010.05.012,,,,,,
4359,WOS:000289685500003,2010,"Ecological Modeling of the Spatial Distribution of Wild Waterbirds to Identify the Main Areas Where Avian Influenza Viruses are Circulating in the Inner Niger Delta, Mali","Cappelle, Julien|Girard, Olivier|Fofana, Bouba|Gaidet, Nicolas|Gilbert, Marius",ECOHEALTH,emerging infectious diseases|surveillance|wild birds|distribution models|aiv|boosted regression trees,10.1007/s10393-010-0347-5,http://dx.doi.org/10.1007/s10393-010-0347-5,,,,,,
3732,WOS:000279390300009,2010,"Operational flood management under large-scale extreme conditions, using the example of the Middle Elbe","Kron, A.|Nestmann, F.|Schlueter, I.|Schaedler, G.|Kottmeier, C.|Helms, M.|Mikovec, R.|Ihringer, J.|Musall, M.|Oberle, P.|Saucke, U.|Bieberstein, A.|Danhelka, J.|Krejci, J.",NATURAL HAZARDS AND EARTH SYSTEM SCIENCES,,10.5194/nhess-10-1171-2010,http://dx.doi.org/10.5194/nhess-10-1171-2010,,,,,,
4802,WOS:000287976700044,2010,A PARTICIPATIVE MODELLING FRAMEWORK FOR DEVELOPING CONCEPTUAL MODELS IN HEALTHCARE SIMULATION STUDIES,"Tako, Antuela A.|Kotiadis, Kathy|Vasilakis, Christos|Johansson, B|Jain, S|MontoyaTorres, J|Hugan, J|Yucesan, E",PROCEEDINGS OF THE 2010 WINTER SIMULATION CONFERENCE,,10.1109/WSC.2010.5679135,http://dx.doi.org/10.1109/WSC.2010.5679135,,,,,,
3773,WOS:000282655200004,2010,Modelling an urban water system on the edge of chaos,"Moglia, Magnus|Perez, Pascal|Burn, Stewart",ENVIRONMENTAL MODELLING & SOFTWARE,water services|socio-technical analysis|integrated assessment|agent-based modelling,10.1016/j.envsoft.2010.05.002,http://dx.doi.org/10.1016/j.envsoft.2010.05.002,,,,,,
108,WOS:000276532700010,2010,Simulated impact of past and possible future land use changes on the hydrological response of the Northern German lowland 'Hunte' catchment,"Elfert, Simon|Bormann, Helge",JOURNAL OF HYDROLOGY,land use change|land use scenarios|water balance|runoff generation|distributed hydrological modelling,10.1016/j.jhydrol.2009.12.040,http://dx.doi.org/10.1016/j.jhydrol.2009.12.040,,,,,,
4004,WOS:000287976701050,2010,ROBUST SIMULATOIN OF ENVIRONMENTAL POLICIES USING THE DICE MODEL,"Hu, Zhaolin|Cao, Jing|Hong, L. Jeff|Johansson, B|Jain, S|MontoyaTorres, J|Hugan, J|Yucesan, E",PROCEEDINGS OF THE 2010 WINTER SIMULATION CONFERENCE,,10.1109/WSC.2010.5679061,http://dx.doi.org/10.1109/WSC.2010.5679061,,,,,,
973,WOS:000277705600002,2010,Global river nutrient export: A scenario analysis of past and future trends,"Seitzinger, S. P.|Mayorga, E.|Bouwman, A. F.|Kroeze, C.|Beusen, A. H. W.|Billen, G.|Van Drecht, G.|Dumont, E.|Fekete, B. M.|Garnier, J.|Harrison, J. A.",GLOBAL BIOGEOCHEMICAL CYCLES,,10.1029/2009GB003587,http://dx.doi.org/10.1029/2009GB003587,,,,,,
974,WOS:000281742000008,2010,Climate Change Impacts on Water Resources and Lake Regulation in the Vuoksi Watershed in Finland,"Veijalainen, Noora|Dubrovin, Tanja|Marttunen, Mika|Vehvilainen, Bertel",WATER RESOURCES MANAGEMENT,watercourse regulation|climate change|adaptation|hydrological modelling|impact assessment,10.1007/s11269-010-9614-z,http://dx.doi.org/10.1007/s11269-010-9614-z,,,,,,
